time,gFx,gFy,gFz,TgF
0.306957083,-0.0129,1.0037,0.0015,1.004
0.307432187,-0.0148,1.0018,0.0005,1.002
0.307887343,-0.0129,1.0018,-0.0005,1.002
0.308325989,-0.0148,1.0013,-0.0015,1.001
0.308747604,-0.0158,1.0013,-0.0015,1.001
0.309143645,-0.0158,1.0028,-0.0034,1.003
0.3095675,-0.0144,1.0023,-0.0059,1.002
0.313228333,-0.0139,1.0008,-0.0073,1.001
0.313954062,-0.0144,1.0018,-0.0088,1.002
0.319215729,-0.0139,1.0023,-0.0098,1.002
0.319984479,-0.0129,1.0018,-0.0117,1.002
0.324830312,-0.0114,0.9993,-0.0132,0.999
0.325925729,-0.0095,1.0003,-0.0156,1.000
0.32815026,-0.0080,1.0023,-0.0151,1.002
0.328831302,-0.0080,1.0047,-0.0166,1.005
0.335256562,-0.0046,1.0047,-0.0181,1.005
0.335916614,-0.0036,1.0072,-0.0191,1.007
0.341589375,-0.0026,1.0086,-0.0186,1.009
0.342494375,0.0008,1.0076,-0.0156,1.008
0.354868281,0.0042,1.0076,-0.0147,1.008
0.355448697,0.0071,1.0062,-0.0147,1.006
0.355788229,0.0067,1.0042,-0.0142,1.004
0.356074427,0.0101,1.0028,-0.0107,1.003
0.35633875,0.0120,1.0018,-0.0078,1.002
0.356654531,0.0135,0.9988,-0.0020,0.999
0.364830885,0.0140,0.9984,0.0005,0.998
0.365521145,0.0164,0.9964,0.0059,0.997
0.36580677,0.0184,0.9954,0.0093,0.996
0.36607776,0.0203,0.9959,0.0137,0.996
0.367430052,0.0208,0.9949,0.0156,0.995
0.367833489,0.0233,0.9940,0.0191,0.994
0.373148906,0.0233,0.9949,0.0215,0.995
0.374052187,0.0228,0.9969,0.0254,0.997
0.378473906,0.0233,0.9949,0.0274,0.996
0.37908026,0.0228,0.9964,0.0293,0.997
0.383169791,0.0223,0.9954,0.0303,0.996
0.38351552,0.0223,0.9949,0.0308,0.996
0.399726197,0.0223,0.9944,0.0303,0.995
0.400607812,0.0208,0.9954,0.0293,0.996
0.400943697,0.0194,0.9969,0.0298,0.998
0.401236666,0.0179,0.9964,0.0308,0.997
0.401516249,0.0159,0.9959,0.0279,0.996
0.401805781,0.0140,0.9954,0.0259,0.996
0.418168229,0.0140,0.9974,0.0230,0.998
0.419638124,0.0120,0.9959,0.0200,0.996
0.420239895,0.0111,0.9949,0.0176,0.995
0.420695208,0.0101,0.9949,0.0147,0.995
0.421157864,0.0081,0.9949,0.0112,0.995
0.421586354,0.0067,0.9940,0.0103,0.994
0.421991822,0.0076,0.9944,0.0059,0.994
0.422556302,0.0091,0.9959,0.0039,0.996
0.423154062,0.0081,0.9954,0.0029,0.995
0.423631979,0.0076,0.9969,0.0029,0.997
0.428709999,0.0076,0.9984,0.0005,0.998
0.429425416,0.0086,1.0003,-0.0010,1.000
0.435030677,0.0086,1.0003,-0.0010,1.000
0.435872343,0.0086,1.0013,-0.0034,1.001
0.454309114,0.0086,1.0032,-0.0044,1.003
0.45587052,0.0101,1.0023,-0.0029,1.002
0.456440624,0.0086,1.0023,-0.0024,1.002
0.45691651,0.0081,1.0037,-0.0029,1.004
0.457360468,0.0081,1.0042,-0.0034,1.004
0.457734947,0.0076,1.0037,-0.0029,1.004
0.458192499,0.0076,1.0028,-0.0039,1.003
0.458772239,0.0086,1.0018,-0.0049,1.002
0.459228802,0.0067,1.0013,-0.0054,1.001
0.459644739,0.0062,1.0032,-0.0068,1.003
0.46485802,0.0052,1.0028,-0.0093,1.003
0.465553072,0.0037,1.0003,-0.0088,1.000
0.470151458,0.0027,1.0003,-0.0093,1.000
0.470921354,0.0032,1.0013,-0.0112,1.001
0.479827708,0.0023,1.0018,-0.0142,1.002
0.481056614,0.0013,1.0018,-0.0147,1.002
0.481550937,0.0008,1.0008,-0.0151,1.001
0.481965312,-0.0007,0.9993,-0.0161,0.999
0.488845104,0.0008,0.9988,-0.0181,0.999
0.489608281,-0.0007,1.0003,-0.0181,1.000
0.490191874,-0.0026,0.9988,-0.0161,0.999
0.490880416,-0.0036,0.9969,-0.0171,0.997
0.497665156,-0.0031,0.9964,-0.0161,0.997
0.498526041,-0.0056,0.9954,-0.0156,0.996
0.498950833,-0.0070,0.9964,-0.0156,0.997
